BGSU1001	3.0,3.5,2.0,2.0,3.0,2.5
BGSU1228	3.0,3.5
BGSU1229	3.5,4.0
BGSU1232	3.0,2.0
BGSU1234	3.0,3.0
BGSU1236	3.5,3.0
BGSU1237	2.5,3.0
BGSU1239	4.0,2.5
BGSU1241	3.0,1.5
BGSU1243	3.5
BGSU1244	3.5,3.0
BGSU1245	3.5,3.0
BGSU1250	3.0,3.0
BGSU1251	4.0,3.0
BGSU1255	3.0,2.5
BGSU1257	3.0
BGSU1259	2.5,2.5
BGSU1261	2.5,3.0
BGSU1262	3.5,4.0,2.5
BGSU1263	2.5,3.0
BGSU1265	3.5
BGSU1266	3.0,3.0
BGSU1267	4.0,3.0
BGSU1268	3.5,2.5
BGSU1270	3.5,3.5
BGSU1276	4.0,3.5
BGSU1279	3.5,3.0
BGSU1280	3.5
BGSU1281	2.5,2.0
BGSU1282	3.5,3.0
BGSU1290	3.0,2.0
BGSU1291	2.5,3.0
BGSU1294	3.0,3.0
BGSU1296	2.5
BGSU1299	2.5,3.0
BGSU1302	3.0
CNUK1003	3.5,3.5
CNUK1004	3.0,2.5,2.5,1.0,2.5,3.5
CNUK1005	3.5
CNUK1007	2.5,3.5
CNUK1015	3.5
CNUK1018	3.0,3.5
CNUK1021	3.0
CNUK1025	3.5,3.5
CNUK1028	3.5,3.5
CNUK1033	3.0,3.0
CNUK1052	3.0,4.0
CNUK1055	3.5,4.0
CNUK1056	3.5
CNUK1057	2.5,2.5
CNUK1062	3.0
CNUK1072	4.0,2.5
CNUK1073	3.0,3.5
CNUK1080	3.5,3.0
CNUK1082	3.0
CNUK1084	3.0
CNUK1097	3.0,2.5,3.5
CNUK1098	3.0,3.5
CNUK1099	2.5,2.5
CNUK1101	3.0,3.0
CNUK1102	3.0,3.0
CNUK1103	3.0,3.0
CNUK1107	3.5,2.5
CNUK1110	4.0,4.0
CNUK1111	3.0,2.5
CNUK1114	3.0,3.0,2.5,2.0,3.5
CNUK1116	3.5,2.5
CNUK1117	3.5,3.0
CNUK1118	3.5
CNUK1119	3.0,4.0
CNUK1120	2.5,3.5
CNUK1122	3.0,2.0
CNUK1123	3.5,2.5
CNUK1124	4.0,4.0
CNUK1125	3.5,3.0,2.0,3.5,1.5,1.5
CNUK1126	4.0,3.0
CNUK1129	3.0,4.0
CNUK1132	3.0,2.5
CNUK1134	3.0,4.0
CNUK1139	4.0,2.5
CNUK1141	3.0,3.5
CNUK1142	3.5,3.5
CNUK1143	3.5,3.0
CNUK1144	3.5,3.5
CNUK1147	3.5,3.0
CNUK1148	2.5,2.5
CNUK1151	2.5,2.0
CNUK1153	3.0,2.5
CNUK1163	3.5,2.5
CNUK1169	3.5,3.5
CNUK1170	4.0,3.0
CNUK1171	3.0,2.0
CNUK1173	3.5,3.0
CNUK1176	3.5
CNUK1179	2.5,2.0
CNUK1183	2.5,3.5
CNUK1185	3.5,3.5
CNUK2002	3.0,3.0
CNUK2006	3.5
CNUK2011	3.0,4.0
CNUK2020	3.0,2.5
CNUK2034	3.5,3.0
CNUK3066	3.0,4.0
CNUK4007	3.0,4.0
CNUK4009	3.5,3.0
CNUK4011	3.5,3.5
CNUK4012	3.0
CNUK4015	3.0,3.0
CNUK4016	3.5,3.5
CNUK4018	3.0,3.0
CNUK4019	3.5,3.5
CNUK4020	4.0,4.0
CNUK4022	3.0
CNUK4023	3.5,3.0
CNUK4024	3.0,3.5
CNUK4025	3.5,4.0
CNUK4028	3.5
CNUK4029	3.0,3.0,2.5,3.0,2.5,3.5
CNUK4033	3.0,2.5
CNUK4036	3.0,2.5
CZKR1001	3.0,3.0,1.5,1.0,2.0,3.5
CZKR1003	3.0,3.0,2.0,2.5
CZKR1004	3.0,2.5
CZKR1005	2.5
CZKR1007	2.5,2.0
CZKR1009	3.5,2.5
CZPR2001	1.0,3.0
CZPR2005	1.0,2.0
CZPR2013	1.0
CZPR2014	1.0
CZPR2016	1.0,1.0
CZPR2017	1.0
CZPR2022	1.0,1.5
CZPR2023	1.0,1.0,1.0,1.0,1.5
CZPR2025	1.0,2.0
CZPR2027	1.0,2.0
CZPR2029	1.0,2.0
CZPR2030	1.0
CZPR2031	1.0,1.5
CZPR2039	1.0,1.0
CZPR2044	1.0,2.0
CZPR2047	1.0,2.5
CZPR2051	1.0,2.0
CZPR2057	1.0
CZPR3009	3.5
CZPR3010	2.5,2.0
CZPR3011	3.0,1.0
CZPR3013	3.5,3.0
CZPR3018	3.5,2.0
CZPR3023	3.5
CZPR3027	3.0,3.0
CZPR3048	3.0,3.5
CZPR3049	3.5,2.0
CZPR3053	2.5
CZPR3057	3.5
CZPR3061	3.0,2.5
CZPR4005	3.5,2.0
CZPR4013	3.5,3.0
CZPU1011	4.0,3.0
CZPU1012	3.0,2.0
CZUN1005	3.5,2.0
CZUN1006	1.0,2.0
CZUN1009	3.0,3.0,2.5,3.0,3.0,3.5
CZUN1028	2.5,3.0
DBAN1003	3.0,3.5,3.0,3.0,3.5
DBAN1004	3.5,3.0,2.5
DBAN1005	4.0,3.0
DBAN1006	3.5,2.5
DBAN1011	3.0,4.0
DBAN1014	3.0,3.5
DBAN1016	1.5,2.5
DBAN1017	3.5,3.5
DBAN1021	4.0,3.0
DBAN1024	4.0,3.0
DBAN1026	4.0,4.0
DBAN1029	3.0,3.0
DBAN1031	4.0
DBAN1034	3.5,2.5
DBAN2001	3.5
DBAN2002	3.5,2.5
DBAN2005	3.0,3.5
DBAN2008	2.5,2.5,2.0
DBAN2013	3.5,2.0
DBAN2016	3.0
DBAN2018	3.0,3.5
DBAN2019	4.0,3.5
DBAN2020	3.0,3.0,3.0,3.0,3.0,3.0
DBAN2022	3.0,4.0,2.5,2.5,2.0,3.5
DBAN2023	3.5,3.0
DBAN2024	1.0
DBAN2029	3.0
DBAN2030	3.5,3.0
DBAN2031	3.0,2.5
DBAN2032	2.5,2.5
DBAN2033	3.5,3.0
DBAN2034	2.5,2.5,2.0
DBAN2036	3.5,4.0
DBAN2039	3.0
DBAN2042	3.0,3.0
DBAN2043	3.5,3.0
DBAN2049	4.0,3.5
DBAN2051	2.5,2.0
DBAN2052	3.0,2.0
DBAN2054	3.5,3.0,3.0,2.0,2.5,4.0
DBAN2055	3.0,3.5
DBAN2057	3.0,2.5
DBAN2058	2.5,2.5
DBAN3004	3.5,3.0
DBAN3005	3.5,4.0
DBAN3006	2.5,3.0
DBAN3011	3.0,2.5
DBAN3013	3.0,3.0
DBAN3016	3.0,3.0
DBAN3017	3.0,2.5
DBAN3020	3.0,2.5
DBAN3021	3.0,3.5
DBAN3023	3.0,2.0
DBAN3024	3.0,2.0
DBAN3027	3.5,4.0
DBAN3028	3.5,4.0
DBAN3030	3.0,2.5
DBAN3031	3.0,2.0
DBAN3032	3.0,2.0
DBAN3033	3.0,2.0
DBAN3034	3.0,2.5
DBAN3035	3.5,3.5,3.0,4.0,3.5,4.0
DBAN3037	4.0,3.5
DBAN3038	3.5,3.5
DBAN3040	3.5,3.5
DBAN3042	3.0,3.0
DBAN3044	3.5,3.0
DBAN3046	4.0,3.0
DBAN3047	3.5,4.0
DBAN3048	3.0,3.0
DBAN3049	3.5,3.0
DBAN3050	3.0,2.5
DBAN3051	3.0,2.5
DBAN3054	2.0
DBAN3055	2.5
DBAN3056	3.0,4.0
DBAN3057	2.5,2.5
DBAN3059	3.5,3.5
DBAN3063	2.5,2.5
DBAN3065	3.0
DBAN3068	3.0,3.0
DBAN3070	3.5
DBAN3071	2.0,2.0
DBAN3073	4.0
FIAB1005	3.5,3.0
FIAB1007	3.5
FIAB1009	3.0,3.0
FIAB1011	4.0,3.0
FIAB1053	3.5,3.0
FIAB3003	3.5,3.0
FIAB3004	4.0,2.0
FIAB3005	3.5,3.0
FIHE1003	4.0,2.0
FIHE1008	4.0,3.5
FIHE1012	3.5,2.5
FIHE1013	3.5,3.5
FIHE1014	3.5,3.0
FIHE1019	2.5,2.0
FIHE1022	3.5,3.5
FIHE1024	4.0
FIHE1025	3.0,2.5
FIHE1026	3.5,3.5,2.5
FIHE1028	3.0
FIHE2001	3.5,3.5
FIHE2002	4.0,3.0
FIJO1034	3.0
FIJO1036	3.5,2.0
FIJO1037	3.0
FIJO1038	3.5,2.0
FIJY1001	3.0,3.0
FIJY1002	3.5,2.5
FIJY1008	2.5,2.0
FIJY1010	3.5,3.0
FIJY1013	2.5,3.0
FIJY1015	4.0,3.5
FIJY1016	3.5,2.5
FIJY1017	3.5,2.0
FIJY1024	4.0
FIJY1026	2.5,3.0,2.5,3.0,2.0,2.5
FIJY1027	3.0,4.0,2.5,2.0,3.0,3.5
FIJY1028	4.0,4.0
FIJY1030	2.5,2.5
FIJY1031	3.5,3.0
FIJY1035	3.0,2.5
FIJY1037	4.0,3.5
FIJY1041	3.5,3.0
FIJY1042	3.5,3.0
FIJY1043	3.0,2.0
FIJY1044	2.5,2.0
FIJY1047	3.0,3.5
FIJY1050	3.5,2.5
FIJY1053	3.0,2.0
FIJY1055	3.5,4.0
FIJY1056	3.0,3.0
FIJY1057	3.0,4.0,3.0,3.0,2.5,3.5
FIJY1058	3.0,3.0
FIJY1061	4.0,2.5
FIJY1062	4.0,3.5
FIJY1063	3.5,4.0
FIJY1065	3.0,3.0
FIJY1069	4.0,2.5
FIJY1070	3.5,3.0
FIJY1071	4.0,3.0
FIJY1074	3.5,2.5,3.0
FIJY1075	2.5,3.0
FIJY1077	3.5,2.0
FIJY1078	4.0,2.5
FIJY1080	3.0,1.5
FRUB1003	2.5,2.5
FRUB1004	3.0,3.0
FRUB1005	2.0,2.0
FRUB1008	1.5,2.5
FRUB1009	3.5,2.5
FRUB1010	3.5,3.0
FRUB1012	2.5,3.0
FRUB1015	3.0,2.5
FRUB1017	3.5,4.0
FRUB1021	3.5,3.5
FRUB1022	3.0,3.5
FRUB1023	2.5,3.0
FRUB1024	3.5,3.5
FRUB1026	3.0,2.0
FRUB1028	3.0,1.5
FRUB1030	2.5,2.5
FRUB2002	3.5,3.5
FRUB2003	3.5,3.0
FRUB2005	3.0,2.5
FRUB2006	3.0
FRUB2007	4.0,3.0
FRUB2009	3.5,2.5
FRUB2011	3.5,3.5
FRUB2013	3.5,2.5
FRUB2014	3.5,3.0
FRUB2017	3.5,3.0
FRUB2018	2.5,2.5
FRUB2019	3.5,3.5
FRUB2022	3.0,4.0
FRUB2024	3.0,3.0
FRUB2026	2.5,2.0
FRUB2027	4.0
FRUB2028	1.0,2.0
FRUB2029	3.5,2.0
FRUC3003	3.5,3.0
FRUC3009	4.0,3.5
FRUC3012	3.0
FRUC3014	2.5,2.5
FRUC3015	3.0,2.5
FRUC3028	2.5,2.5
FRUC3029	2.5,3.0
FRUC3048	3.0,3.0
FRUC3052	2.5
FRUC3053	3.0,2.5
FRUC3054	2.0,2.5
FRUC3056	1.5,2.0
FRUC3059	3.0,3.0
FRUC3060	3.0,2.5
FRUC3065	3.0,3.0
FRUC3067	3.5,3.5
FRUC3068	3.5,3.0
FRUC3070	2.5,3.0
FRUC3073	3.5,3.0
FRUC3074	2.0,3.0
FRUC3075	3.0
FRUC3076	3.0,2.0
FRUC3077	3.5
FRUC3080	3.0,3.0
FRUC3081	3.0,3.0
FRUC3085	2.5,3.0
FRUC3086	3.0,3.0
FRUC3087	3.5,2.0
FRUC3088	2.5,2.0
FRUC3089	3.5,3.5
FRUC3091	3.0,3.0
FRUC3092	3.0,2.0
FRUC3093	3.0,3.0
FRUC3094	3.0,2.5
FRUC3095	3.5,2.0
FRUC3097	3.5
FRUL1005	3.0,3.0
FRUL1006	2.0,2.0
FRUL1007	3.0,3.0
FRUL1012	2.5,2.5
FRUL1013	3.0,3.0
FRUL1015	2.5,2.0
FRUL1016	3.0,3.0
FRUL1018	4.0
FRUL1019	3.5,3.0
FRUL1021	3.0,2.0
FRUL1022	3.0,2.5
FRUL1023	3.0,2.0
FRUL1024	3.0,2.5
FRUL1025	3.0,2.0
FRUL1027	3.0,2.5
FRUL1029	3.5,3.0
FRUL1030	3.0,3.0
FRUL1033	3.0,3.0,2.5,2.0,3.0,3.0
FRUL1034	2.5,2.5
FRUL1035	3.5,2.5
FRUL2002	3.0,3.0
FRUL2021	2.0,2.0
FRUL2023	2.5
FRUL2024	3.0,3.0
ITRS1005	3.5,3.0
ITRS1012	2.5,2.0
ITRS1013	3.0,3.5
ITRS1015	3.0,2.0
ITRS1041	2.5,3.0
ITRS2002	3.5,3.0
ITRS2003	3.0,3.5
ITRS2005	2.5,2.0
ITRS2006	3.0
ITRS2007	2.5
ITRS2009	2.5,2.5
ITRS2012	3.0,3.0
ITRS2015	2.0,2.5,3.0,1.0,1.5
ITRS2016	3.0
ITRS2018	3.0,2.0
ITRS2019	2.5,4.0
ITRS2020	3.0,3.5
ITRS2021	2.5,2.5
ITRS2022	2.0,3.0
ITRS2023	2.5,2.0
ITRS2026	2.5,1.5
ITRS2031	3.0,2.0
ITRS2032	2.5,2.5
ITRS2033	2.0
ITRS2034	3.5,2.5
ITRS2035	3.0,2.5
ITRS2036	2.5,2.0
ITRS2038	3.0,3.0
ITTO5002	3.5,2.5
ITTO5003	3.0,3.0
ITTO5004	3.0,3.0
ITTO5005	3.0,2.5
ITTO5006	3.5,3.0
ITTO5007	3.5,3.0
ITTO5008	3.0,3.5
ITTO6002	3.0,3.0
ITTO6005	3.5,3.5
ITVE3001	3.5,3.5,3.5,3.5,4.0,3.5
ITVE3002	3.5,3.0
ITVE3003	3.5,4.0
NOAC1004	3.0,3.0
NOAC1005	4.0,3.0
NOAC1010	3.0
NOAC1011	3.5,3.0
NOAC1015	3.5
NOAC1016	3.5,3.0
NOAC1017	3.0,3.5
NOAC1023	4.0,3.0
NOAG1004	3.0,2.5
NOAG1011	3.0,3.0
NOAG1013	3.0,2.5
NOAG1015	4.0,3.0
NOBE1002	2.5,2.0
NOBE1004	3.5
NOBE1008	3.0
NOBE1011	3.5,2.5
NOBE1013	3.5,2.5
NOBE1018	3.5,3.0
NOBE1020	3.0,3.0
NOBE1027	4.0
NOBU1004	2.5,2.0
NOHB1001	3.0,3.0
NOHE1007	3.0
NOHO1001	3.5,2.5
NOHO1002	3.5,2.5
NOHO1003	2.5,2.5
NOHO1004	3.0,2.5
NOHO1011	3.0,3.5
NOHO1013	2.5,3.5
NOHO1018	3.5,3.5
NOHO1019	3.5,2.5,2.5,3.5,3.5,4.0
NOHO1022	2.0,3.0
NOHO1023	3.5,3.5
NOHO1024	1.5,2.0
NOHO1026	3.0
NOHO1027	3.0,2.0
NOHO1030	3.0,2.5
NOHO1032	3.0
NOHO1033	3.0
NOHO1034	3.0
NOHO1037	3.0,2.5
NOHO1038	3.5,2.5
NOHO1040	3.0
NOHO1042	2.5,3.0
NOHO1043	2.5,3.0
NOHO1044	1.5,2.0
NOHO1045	3.5,2.5
NOHO1046	3.5,3.5
NOOS1003	3.5,2.5
NOOS1007	3.5,3.0
NOOS1014	3.5,3.5
NOOS1015	3.5
NOOS1021	3.0,3.0
NOOS1022	2.5,3.0
NOOS1038	3.0
NOOS1041	2.5,2.0
NOUO1009	1.5,2.0
NOUO1018	3.5,2.5
NOUO1025	3.0,3.0
NOUO1027	3.5,3.5
NOUO1031	2.0,4.0
NOUO1032	3.5,3.5
NOUO1033	3.0,2.5
NOUO1035	2.5,2.0
NOUO1040	4.0,3.5
NOUO1041	2.5,4.0
NOUO1042	3.5,3.0
NOUO1043	2.0
NOUO1046	3.0,2.0
NOUO1048	2.0,2.0
NOUO1052	3.0,2.5
NOUO1053	3.5,3.5
NOUO1055	4.0,3.0
NOUO1058	3.5,4.0
NOUO1072	3.0,3.5
NOUO1073	4.0,2.0
NOUO1074	3.0,4.0
NOUO1075	3.5,4.0
NOUO1078	4.0,3.0
NOUO1083	3.0,2.0
NOUO1086	3.5,3.0
NOUO1087	3.5
NOUO1094	2.5
NOUO1096	1.5,1.0
NOUO1097	2.0,3.0
NOUO2003	3.5,3.0
NOUO2005	3.5,3.0
NOUO2006	3.0,2.0
NOUO2007	3.0
NOUO2010	4.0,3.0
NOUO2013	2.5,2.0
NOUO2015	3.0,4.0
NOUO2017	2.5,2.5
NOUO2021	2.5,4.0
NOUO2022	3.0
NOUO2023	3.5,3.0,3.0,3.5,2.5,4.0
NOUO2024	3.5,2.5
NOUO2025	3.0,3.5
NOUO2031	3.5,2.5
NOUO2035	3.0,3.0
NOUO2047	4.0,2.5
POPZ1001	3.5
POPZ1003	3.5,4.0
POPZ1004	3.5,4.0
POPZ1006	4.0,4.0
POPZ1007	4.0,4.0
POPZ1008	3.5,2.0
POPZ1009	4.0,3.0
POPZ1010	4.0,2.0
POPZ1011	4.0,3.0
POPZ1015	3.5
POPZ1020	3.5,2.0
POPZ1043	3.0,2.0
POPZ1044	3.0
POPZ1045	3.5,3.0
POPZ5006	3.0,3.0
RUMO1014	1.0,2.0
RUMO1020	3.0,3.0
RUMO2002	3.0
RUMO2003	3.5,2.5
RUMO2004	3.5,3.0
RUMO2005	3.0,2.5
RUMO2006	2.5,2.5
RUMO2007	3.0,2.0
RUMO2009	3.0,3.0
RUMO2011	2.5,3.0
RUMO2012	3.0,2.5
RUMO2013	3.5,3.0
RUMO2014	3.0
RUMO2020	2.5,2.5
RUMO2022	3.0,2.5
RUMO2023	3.0,3.0
RUMO3001	3.0,4.0
RUMO3004	3.5,4.0
RUMO3005	3.0
RUMO3006	3.0,2.5
RUMO3008	3.0,2.0
RUMO3012	2.5
RUMO3013	3.0,3.0
RUMO4002	3.0,4.0
RUMO4003	3.0
RUMO4009	3.0,2.5
RUMO4010	2.0,2.0
RUMO4011	2.0,1.0
RUMO4012	3.0,3.0
RUMO4014	3.0,4.0
RUMO4016	3.0,3.5
RUMO4017	2.5,2.5
RUMO4018	4.0,3.5
RUMO4019	3.5,3.0
RUMO4021	3.0
RUMO4025	3.5,3.0,3.5,3.5,2.5,4.0
RUMO4026	3.5,3.5
RUMO4028	3.0,3.0
RUMO4029	3.0,3.0
RUMO5002	3.0,2.5
RUMO5004	3.0
RUMO5006	3.0,3.0
RUMO5008	2.5
RUMO5012	3.5,3.0
RUMO5013	3.0,2.5
RUMO5019	3.0,3.0,2.0
RUMO5023	3.0,2.0
RUMO5024	3.0,4.0
RUMO5028	3.0,3.5,3.5,4.0,3.0,2.0
RUMO5032	3.5,3.0,2.5
RUMO5033	3.0,3.0,3.0,4.0,3.0,4.0
RUMO5034	3.0,4.0
RUMO5036	3.0,3.5
RUMO5039	3.5,2.5
RUMO5040	2.5,3.0
RUMO5042	3.5,2.5
RUMO5043	2.5,2.0
RUMO5044	3.0,2.0
RUMO5045	2.0,2.0
RUMO5046	3.0,2.5
RUMO6001	2.5,2.0
RUMO6002	3.0,2.5
RUMO6003	3.5,2.5
RUMO6006	3.0,2.0
RUMO6008	3.0,2.5,2.0,2.0,4.0
RUMO6014	3.0,2.5
RUMO7001	2.5,3.0,2.5
RUMO7023	2.0,2.5
RUMO7035	3.0,2.5
RUMO7036	3.0
RUMO7061	2.5,2.5
RUMO7062	3.0,2.0
RUMO8004	2.5,3.0
RUMO8005	2.0
RUMO8008	3.0,2.0
RUMO8012	3.0,3.0
RUMO9001	3.0
RUMO9007	2.5,3.5
RUMO9010	2.5,3.0,2.5,2.5,2.0
RUMO9012	1.5,2.5
RUMO9014	2.5,2.5,2.0,2.0,2.0,1.5
SPM01005	3.0,2.5
SPM01006	3.0
SPM01007	3.0,2.0
SPM01009	3.0,3.0,1.0
SPM01012	3.5,2.5
SPM01013	3.0,3.0
SPM01016	3.0
SPM01017	4.0,3.0
SPM01018	3.5,3.0
SPM02002	3.5,1.5
SPM02003	2.0,2.0
SPM02004	2.5,2.0,2.5
SPM02007	3.5,2.5
SPM02008	2.5,2.0
SPM02011	3.0,3.0,2.0,2.5
SPM02013	2.0,3.0
SPM02015	2.5,2.0
SPM03002	4.0,3.0
SPM03003	3.0,3.0
SPM03004	3.0,2.5
SPM03007	3.0
SPM03008	3.5,3.0
SPM03009	3.0,2.0
SPM03012	3.0,2.0
SPM03013	3.0,2.0
SPM03014	3.5,3.0
SPM03015	3.0,2.5,2.5,2.0,3.0,2.5
SPM03019	3.0
SPM03020	2.0
SPM03023	2.5,2.5
SPM03026	3.5,2.5
SPM03028	3.0,3.0
SPM03029	3.0
SPM03032	3.0,2.5,3.0,2.0,3.0,3.5
SPM03035	3.5,3.5
SPM03036	3.0,2.5
SPM03037	3.5,3.0
SPM03042	3.0,3.0
SPM03047	3.5
SPM03052	3.0,2.5
SPM04001	3.0
SPM04002	2.0
SPM04004	3.5,3.0
SPM04010	2.5
SPM04015	3.0,2.0
SPM04016	3.0,2.5
SPM04021	3.0,4.0
SPM04022	3.5,3.0,3.0,2.0,3.0,3.0
SPM04023	3.0,2.0
SPM04026	3.5
SPM04029	2.5
SPM04030	1.5,2.5
SPM04031	4.0,3.5
SPM04032	3.5,2.5
SPM04033	3.0,3.0
SPM04034	3.0,3.0
SPM04039	3.5,3.0
SPM04042	3.0,3.5
SPM04043	3.0,3.0
SPM04047	3.5,3.0
SPM04048	3.0,2.5
SPM05008	3.0,2.5
SPM05011	3.5,4.0
SPM05015	3.5,2.0
SPM05016	2.5,2.5
SPM05017	3.5,2.5
SPM05020	3.0,2.5
SPM07005	2.0,2.0,2.0,1.5,2.5,1.5
SPM07006	4.0,2.5
SPM07017	3.0,3.0,2.5,4.0,3.0
SPM10002	3.5,3.5
SPM10006	2.0,1.5
SPM10007	1.5
SPM10009	3.5,3.0
SWUL1001	3.0,3.0
SWUL1003	3.5,3.0
SWUL1004	3.5,2.0
SWUL1005	3.0
SWUL1013	4.0,2.5
SWUL2002	4.0,2.5
SWUL2009	3.0,3.0
SWUL2011	3.5,3.0
SWUL3003	3.0,3.0
SWUL3006	3.0
SWUL3007	4.0,2.0
SWUL3008	3.0,4.0
SWUL3013	3.0,2.0
SWUL3017	3.0,3.0
SWUL3019	3.5,3.5
SWUL3022	3.5,2.5
SWUL3026	3.0,3.0
SWUL3027	3.0
SWUL4001	3.0,2.5
SWUL4003	3.0,2.0
SWUL4004	3.0,2.0
SWUL4008	3.0
SWUL4016	3.5,3.0
SWUL4017	3.0
SWUL4018	3.0,3.5
SWUL4026	3.5,4.0
SWUL4027	3.5
SWUL4029	3.0,2.5
SWUL4032	3.5
SWUL5002	3.5,3.0
SWUL5004	2.5,2.5
SWUL5006	2.5
SWUL5010	3.5,2.5
SWUL5017	3.5,3.0
SWUL6003	3.0
SWUL6004	2.5,2.5
SWUL6005	3.0,3.5
SWUV3004	3.0,3.0,2.0,3.0,3.0
SWUV3008	1.0,2.5
TRCU1040	3.0,2.0
TRCU1041	3.5,3.5
TRCU1042	3.0,3.0
TRCU1043	3.0,2.5
TRCU1044	3.5,3.0
TRCU1045	3.0,2.5,2.0
TRCU1046	3.0,3.0
TRCU1047	4.0,2.5
TRCU1048	3.0
TRCU1049	2.5,2.5
TRCU1050	3.5,2.5
TRCU1051	2.5,2.5,2.0,2.5,2.5,2.5
TRCU1053	3.0,3.0,2.0,2.0
TRCU1054	2.5,2.5
TRCU1055	2.0,2.0
TRCU1056	2.5,2.0
TRCU1057	3.0
TRCU1058	4.0,3.0
TRCU1059	4.0
TRCU1060	3.0,3.0
TRCU1062	3.0,3.5
TRCU1064	3.5,3.5
TRCU1065	3.0,2.0
TRCU1068	3.5,3.0
TRCU1070	3.5,3.0
TRCU1071	3.5,2.0
TRCU1072	4.0,2.5
TRCU1073	3.5,3.0
TRCU1107	3.5,2.0
TRCU1108	3.5,3.0
TRCU1109	3.5,3.0
TRCU1118	3.5
TRCU1123	3.5,3.0
TRCU1124	2.5,3.0
TRCU1125	3.5,3.0,2.5,3.0,3.5
TRCU1128	4.0,3.0
TRCU1129	3.5
TRCU1130	3.5,4.0
TRCU1136	2.5,3.0
TRCU1143	3.5,3.0
TRCU1144	4.0
TRCU1146	3.0,3.0
TRCU1147	3.0
TRCU1172	2.0,2.5
TRME3001	2.5,2.5
TRME3002	3.5
TRME3003	3.0,2.5
TRME3006	1.5,2.0
TRME3007	3.5,2.5
TRME3008	2.5,3.0
TRME3010	3.0,3.0
